Car_ID,Brand,Model,Segment,Year,Price_INR_Lakhs,Engine_CC,Fuel_Type,Transmission,Power_BHP,Torque_Nm,Mileage_kmpl,Top_Speed_kmph,No_of_Airbags,ABS,EBD,ESP,Hill_Assist,ISOFIX,Rear_Parking_Sensors,Front_Parking_Sensors,Reverse_Camera,Blind_Spot_Monitor,Lane_Departure_Warning,Adaptive_Cruise_Control,Auto_Emergency_Braking,NCAP_Rating,No_of_Seats,Sunroof_Moonroof,Leather_Seats,Ventilated_Seats,Heated_Seats,Climate_Zones,Ambient_Lighting,Wireless_Charging,Infotainment_Screen_inch,Apple_CarPlay,Android_Auto,Connected_Car_Tech,Digital_Instrument_Cluster,Head_Up_Display,Premium_Sound_System,Cruise_Control,Keyless_Entry,Push_Button_Start,Electric_Parking_Brake,Auto_Dimming_IRVM,Tyre_Size,Ground_Clearance_mm,Boot_Space_L,Fuel_Tank_L,Wheelbase_mm,Length_mm,Width_mm,Height_mm,Kerb_Weight_kg,Drive_Type
26,Skoda,Kushaq,SUV,2024,12.89,999,Petrol,Manual,114,178,16.04,190,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,5,Yes,No,No,No,1,Yes,Yes,10,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,205/60 R16,188,385,50,2651,4225,1760,1612,1215,FWD
27,Volkswagen,Taigun,SUV,2024,11.79,999,Petrol,Manual,114,178,16.8,185,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,5,Yes,No,No,No,1,Yes,Yes,10,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,205/60 R16,188,385,50,2651,4221,1760,1612,1215,FWD
28,Renault,Duster,SUV,2022,9.99,1498,Petrol,Manual,106,142,15.43,165,2,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,0,5,No,No,No,No,1,No,Yes,8,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,215/65 R16,210,475,50,2673,4315,1822,1625,1300,AWD
29,Jeep,Compass,SUV,2024,19.99,1956,Diesel,Manual,168,350,17.1,200,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,5,Yes,Yes,No,No,2,Yes,Yes,10.1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,235/60 R18,178,438,60,2636,4395,1818,1640,1598,4WD
30,MG,Hector,SUV,2024,13.99,1451,Petrol,Manual,141,250,15.81,186,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,0,5,Yes,Yes,No,No,2,Yes,Yes,14,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,235/60 R18,192,587,60,2750,4720,1835,1760,1591,FWD
31,BMW,3 Series,Luxury,2024,46.9,1998,Petrol,Automatic,255,400,13,250,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,Yes,Yes,2,Yes,Yes,12.3,Yes,Yes,Yes,Yes,Yes,Harman Kardon,Yes,Yes,Yes,Yes,Yes,225/45 R18,138,480,59,2851,4709,1827,1435,1590,RWD
32,Mercedes-Benz,C-Class,Luxury,2024,57,1999,Petrol,Automatic,204,300,14.5,250,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,Yes,Yes,2,Yes,Yes,11.9,Yes,Yes,Yes,Yes,Yes,Burmester,Yes,Yes,Yes,Yes,Yes,235/45 R18,130,455,66,2865,4751,1820,1438,1610,RWD
33,Audi,A4,Luxury,2024,45.89,1984,Petrol,Automatic,190,320,13.5,242,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,Yes,Yes,2,Yes,Yes,10.1,Yes,Yes,Yes,Yes,Yes,Bang & Olufsen,Yes,Yes,Yes,Yes,Yes,235/45 R18,122,480,54,2820,4762,1847,1428,1550,FWD
34,Volvo,XC40,Luxury,2024,44.9,1969,Diesel,Automatic,190,400,13.4,195,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,Yes,Yes,2,Yes,Yes,9,Yes,Yes,Yes,Yes,Yes,Harman Kardon,Yes,Yes,Yes,Yes,Yes,235/50 R18,211,460,54,2702,4425,1863,1652,1755,AWD
35,BMW,5 Series,Luxury,2024,72.9,1998,Petrol,Automatic,252,350,12.89,250,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,Yes,Yes,2,Yes,Yes,12.3,Yes,Yes,Yes,Yes,Yes,Harman Kardon,Yes,Yes,Yes,Yes,Yes,245/45 R18,124,530,70,2975,4936,1868,1468,1710,RWD
36,Mercedes-Benz,GLC,Luxury,2024,73,1999,Petrol,Automatic,204,320,11.8,230,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,Yes,Yes,2,Yes,Yes,12.3,Yes,Yes,Yes,Yes,Yes,Burmester,Yes,Yes,Yes,Yes,Yes,255/45 R20,171,620,76,2888,4716,1890,1640,1875,4WD
37,Audi,Q5,Luxury,2024,67.81,1984,Petrol,Automatic,245,370,11.5,237,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,Yes,Yes,2,Yes,Yes,10.1,Yes,Yes,Yes,Yes,Yes,Bang & Olufsen,Yes,Yes,Yes,Yes,Yes,255/45 R20,180,610,75,2819,4663,1893,1659,1890,AWD
38,Jaguar,XE,Luxury,2023,54.52,1997,Petrol,Automatic,247,365,11.5,250,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,Yes,Yes,2,Yes,Yes,10,Yes,Yes,Yes,Yes,Yes,Meridian,Yes,Yes,Yes,Yes,Yes,225/45 R18,105,455,60,2835,4672,1850,1416,1665,RWD
39,Lexus,ES,Luxury,2024,56.55,2487,Petrol Hybrid,Automatic,215,221,16.69,218,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,Yes,Yes,2,Yes,Yes,12.3,Yes,Yes,Yes,Yes,Yes,Mark Levinson,Yes,Yes,Yes,Yes,Yes,235/45 R18,140,454,60,2870,4975,1865,1445,1765,FWD
40,Porsche,Cayenne,Luxury,2024,1.32,2995,Petrol,Automatic,340,450,10.5,263,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,Yes,Yes,2,Yes,Yes,12,Yes,Yes,Yes,Yes,Yes,Bose,Yes,Yes,Yes,Yes,Yes,265/50 R19,224,770,90,2895,4918,1983,1696,2015,AWD
41,Tata,Tiago,Hatchback,2019,10.06,900,Petrol,AMT,92,144,23.14,145,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4,5,Yes,Yes,No,No,1,Yes,Yes,9,Yes,Yes,Yes,Yes,Yes,Bang & Olufsen,Yes,Yes,Yes,No,Yes,165/65 R14,184,336,29,2521,3850,1780,1529,1035,FWD
42,Hyundai,i20,Hatchback,2019,9.46,1000,CNG,AMT,86,146,19.04,169,6,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,5,Yes,No,Yes,No,1,Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,JBL,Yes,Yes,Yes,No,No,185/60 R15,161,367,34,2544,3934,1656,1483,921,FWD
43,Ford,Figo,Hatchback,2023,6.47,1200,Petrol,Automatic,94,127,23.98,148,4,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,0,5,No,No,Yes,No,1,No,No,9,Yes,Yes,No,No,No,JBL,Yes,Yes,Yes,No,No,165/65 R14,182,316,41,2543,3959,1775,1475,928,FWD
44,Honda,Jazz,Hatchback,2023,11.65,1200,CNG,Automatic,103,148,16.89,163,4,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,0,5,No,Yes,Yes,No,1,No,Yes,8,Yes,Yes,Yes,Yes,No,Bang & Olufsen,Yes,Yes,Yes,Yes,Yes,175/65 R15,157,326,28,2530,3983,1678,1525,962,FWD
45,Hyundai,i20,Hatchback,2024,9.23,900,Petrol,Manual,84,111,20.11,157,6,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,4,5,Yes,Yes,No,No,1,Yes,Yes,7,Yes,Yes,Yes,Yes,Yes,Meridian,Yes,Yes,Yes,Yes,No,165/65 R14,169,380,29,2392,4033,1758,1557,857,FWD
46,Toyota,Glanza,Hatchback,2020,7.55,1100,Petrol,Manual,84,95,19.03,164,4,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,4,5,No,Yes,No,No,1,Yes,No,8,Yes,Yes,Yes,Yes,No,Bose,Yes,Yes,Yes,No,No,165/65 R14,174,260,34,2548,3998,1764,1516,1011,FWD
47,Volkswagen,Polo,Hatchback,2024,9.87,900,Petrol,Manual,104,161,19.66,188,2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,5,Yes,Yes,Yes,No,1,Yes,Yes,7,Yes,Yes,No,Yes,Yes,JBL,Yes,Yes,Yes,Yes,Yes,175/65 R15,177,327,31,2555,4024,1687,1514,1100,FWD
48,Maruti Suzuki,Baleno,Hatchback,2019,9.26,1000,Petrol,Manual,95,113,23.84,150,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,4,5,Yes,Yes,Yes,No,1,No,Yes,8,Yes,Yes,Yes,Yes,Yes,Sony,Yes,Yes,Yes,Yes,Yes,175/65 R15,182,281,40,2587,3790,1725,1453,941,FWD
49,Nissan,Magnite,Hatchback,2024,10.98,900,Petrol,AMT,82,96,22.98,170,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,0,5,Yes,Yes,Yes,No,1,No,Yes,9,Yes,Yes,Yes,No,Yes,JBL,Yes,Yes,Yes,Yes,No,195/55 R16,174,370,29,2478,3995,1668,1482,872,FWD
50,Maruti Suzuki,Swift,Hatchback,2023,11.44,1200,Diesel,CVT,93,150,17.58,167,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,3,5,Yes,No,Yes,No,1,Yes,No,9,Yes,Yes,Yes,Yes,Yes,Mark Levinson,Yes,Yes,Yes,Yes,Yes,195/55 R16,180,283,38,2401,3845,1751,1534,1021,FWD
51,Toyota,Glanza,Hatchback,2024,6.83,900,Petrol,Manual,82,146,20.89,189,2,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,4,5,No,No,No,No,1,Yes,No,7,Yes,Yes,No,No,No,JBL,No,Yes,Yes,No,No,195/55 R16,181,380,35,2420,4080,1741,1507,982,FWD
52,Renault,Kwid,Hatchback,2023,8.13,900,Petrol,Manual,82,106,18.17,160,6,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,0,5,No,No,No,Yes,1,No,No,9,Yes,Yes,No,No,No,Bose,No,Yes,Yes,No,No,175/65 R15,170,296,32,2491,3948,1627,1499,1022,FWD
53,Honda,Jazz,Hatchback,2022,11.4,1200,Petrol,CVT,90,136,21.3,145,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,5,Yes,Yes,Yes,No,1,Yes,Yes,7,Yes,Yes,Yes,No,Yes,JBL,Yes,Yes,Yes,Yes,Yes,165/65 R14,173,295,35,2559,3831,1714,1471,908,FWD
54,Citroen,C3,Hatchback,2019,8.84,1000,Diesel,CVT,66,89,23.53,152,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,5,5,Yes,Yes,Yes,No,1,Yes,No,7,Yes,Yes,Yes,Yes,No,Meridian,Yes,Yes,Yes,Yes,Yes,185/60 R15,174,377,40,2503,3938,1731,1555,987,FWD
55,Toyota,Glanza,Hatchback,2019,6.59,1100,Petrol,Manual,68,103,19.03,141,4,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,3,5,No,No,No,No,1,No,No,7,Yes,Yes,Yes,Yes,No,Bose,No,Yes,Yes,No,No,185/60 R15,168,380,33,2470,4059,1736,1484,1006,FWD
56,Toyota,Glanza,Hatchback,2019,9.91,1000,Petrol,Manual,81,132,17.48,153,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,4,5,Yes,No,Yes,No,1,Yes,Yes,7,Yes,Yes,No,Yes,Yes,Meridian,Yes,Yes,Yes,No,Yes,195/55 R16,158,256,34,2505,3737,1767,1530,877,FWD
57,Tata,Altroz,Hatchback,2023,11.62,800,CNG,Manual,76,124,20.85,190,6,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,0,5,No,Yes,Yes,No,1,Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Bang & Olufsen,Yes,Yes,Yes,Yes,Yes,195/55 R16,157,299,42,2447,4020,1770,1534,951,FWD
58,Tata,Tiago,Hatchback,2023,6.19,900,CNG,AMT,90,103,17.33,159,4,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,4,5,No,Yes,No,No,1,No,No,9,Yes,Yes,No,No,No,JBL,No,Yes,Yes,No,No,195/55 R16,175,365,29,2500,3878,1724,1492,1014,FWD
59,Honda,Jazz,Hatchback,2021,7.59,1100,Petrol,CVT,77,128,20.4,169,2,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,3,5,No,No,No,No,1,No,No,10.25,Yes,Yes,No,No,Yes,JBL,No,Yes,Yes,No,No,165/65 R14,172,344,29,2437,3758,1738,1465,928,FWD
60,Citroen,C3,Hatchback,2023,9.79,1100,Electric,CVT,72,91,20.41,164,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5,5,Yes,Yes,Yes,No,1,Yes,Yes,9,Yes,Yes,Yes,Yes,Yes,Bang & Olufsen,Yes,Yes,Yes,No,Yes,195/55 R16,162,345,28,2461,4081,1741,1540,1045,FWD
61,Tata,Altroz,Hatchback,2022,11.74,900,Petrol,Automatic,103,176,22.99,168,2,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,5,5,Yes,Yes,No,No,1,No,Yes,10.25,Yes,Yes,No,Yes,Yes,Mark Levinson,Yes,Yes,Yes,Yes,Yes,165/65 R14,168,265,40,2542,4060,1645,1506,935,FWD
62,Maruti Suzuki,Swift,Hatchback,2019,6.93,800,Petrol,Manual,85,102,20.25,176,2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,0,5,No,No,No,No,1,No,No,9,Yes,Yes,No,No,No,Bose,Yes,Yes,Yes,No,No,175/65 R15,167,331,37,2455,4058,1695,1452,1052,FWD
63,Maruti Suzuki,Swift,Hatchback,2023,10.99,1300,CNG,CVT,88,142,22.66,158,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,5,5,Yes,Yes,Yes,No,1,No,Yes,10.25,Yes,Yes,Yes,Yes,Yes,Bang & Olufsen,Yes,Yes,Yes,No,No,185/60 R15,184,363,40,2455,4082,1706,1552,908,FWD
64,Hyundai,i20,Hatchback,2020,10.16,900,CNG,AMT,72,128,23.74,175,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,5,Yes,Yes,Yes,No,1,No,Yes,7,Yes,Yes,Yes,Yes,No,Mark Levinson,Yes,Yes,Yes,Yes,No,185/60 R15,170,269,29,2440,3975,1654,1499,1082,FWD
65,Ford,Figo,Hatchback,2022,8.91,1300,Petrol,Manual,81,94,19.91,166,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,0,5,Yes,Yes,Yes,No,1,Yes,Yes,7,Yes,Yes,Yes,Yes,No,Sony,Yes,Yes,Yes,Yes,No,175/65 R15,173,295,41,2439,3868,1657,1550,851,FWD
66,Tata,Altroz,Hatchback,2020,8.55,900,Petrol,AMT,88,104,18.87,190,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,5,5,Yes,Yes,Yes,No,1,Yes,No,7,Yes,Yes,No,Yes,Yes,JBL,Yes,Yes,Yes,No,Yes,165/65 R14,165,277,29,2412,3840,1779,1531,1149,FWD
67,Maruti Suzuki,Wagon R,Hatchback,2023,8.48,1100,Petrol,Manual,75,124,16.92,181,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,No,No,1,Yes,Yes,9,Yes,Yes,Yes,Yes,Yes,Burmester,Yes,Yes,Yes,Yes,Yes,195/55 R16,182,253,32,2533,3859,1710,1463,1145,FWD
68,Tata,Altroz,Hatchback,2024,8.12,800,Petrol,Automatic,91,107,18.23,154,4,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,5,5,No,No,No,No,1,Yes,No,7,Yes,Yes,Yes,No,No,Bose,Yes,Yes,Yes,No,No,165/65 R14,183,253,30,2420,4086,1778,1456,891,FWD
69,Datsun,GO,Hatchback,2024,7.68,1200,Petrol,Manual,80,130,16.91,167,2,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,3,5,No,No,No,No,1,Yes,No,8,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,195/55 R16,184,259,41,2460,3994,1729,1523,1057,FWD
